patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
36 Sherwood Road,Harwich,Eastern Gray Squirrel,Barnstable County,6/23/2019,Released,Orphaned,696,2019,2645
Hayes Road,Centerville,Common Grackle,,6/22/2019,Released,Orphaned,697,2019,
43 Sherwood Road,East Harwich,Eastern Gray Squirrel,Barnstable County,6/25/2019,Released,Orphaned,698,2019,
43 Sherwood Road,East Harwich,Eastern Gray Squirrel,Barnstable County,6/25/2019,Died in 24hr,Orphaned,699,2019,
590 Massasoit Road,Eastham,Eastern Gray Squirrel,Barnstable County,6/26/2019,Died +24hr,Orphaned,700,2019,2651
Provincetown school,Provincetown,American Robin,Barnstable County,6/27/2019,Released,Orphaned,701,2019,
Ocean Edge Golf Resort,Brewster,Common Grackle,Barnstable County,6/27/2019,Released,"Orphaned, Fell From Nest",702,2019,
Main Street  (Firestone),Falmouth,European Starling,Barnstable County,6/30/2019,Released,"Orphaned, Fell From Nest",703,2019,2536
394 Old Meeting House Road,Falmouth,European Starling,Barnstable County,6/28/2019,Released,Orphaned,704,2019,
Never 2 Late Farm,Brewster,Barn Swallow,,7/2/2019,Released,Orphaned,705,2019,2631
Cape Resources,Marstons Mills,American Robin,Barnstable,7/3/2019,Released,Orphan,706,2019,2561
49 Ruggles Road,Orleans,Tree Swallow,Barnstable County,7/6/2019,Died +24hr,Animal Interaction,707,2019,2653
49 Ruggles Road,Orleans,Tree Swallow,Barnstable County,7/6/2019,Died +24hr,Animal Interaction,708,2019,2653
49 Ruggles Road,Orleans,Tree Swallow,Barnstable County,7/6/2019,Released,Animal Interaction,709,2019,2653
40 Sharps Drive,Plymouth,American Robin,Plymouth County,7/8/2019,Released,Orphaned,710,2019,2360
Brook Island Road,Wellfleet,Eastern Screech Owl,Barnstable County,7/10/2019,Released,Nest/Habitat Disturbed,711,2019,2667
Brook Island Road,Wellfleet,Eastern Screech Owl,Barnstable County,7/10/2019,Released,Nest/Habitat Disturbed,712,2019,2667
Brook Island Road,Wellfleet,Eastern Screech Owl,Barnstable County,7/10/2019,Released,Nest/Habitat Disturbed,713,2019,2667
23 John Gilpin Road,Chatham,Herring Gull,Barnstable County,7/13/2019,Released,,714,2019,
850 Massasoit Road,Eastham,Gray Catbird,Barnstable County,7/15/2019,Released,"Animal Interaction - Cat, orphan",715,2019,2642
Unknown,Cataumet,Virginia Opossum,Vishakhapatnam,7/20/2019,Euthanized in 24hr,Orphaned - Parent Known Dead,716,2019,2556
Unknown,Cataumet,Virginia Opossum,Vishakhapatnam,7/20/2019,Died +24hr,Orphaned - Parent Known Dead,717,2019,2556
Unknown,Cataumet,Virginia Opossum,Vishakhapatnam,7/20/2019,Died +24hr,Orphaned - Parent Known Dead,718,2019,2556
Unknown,Cataumet,Virginia Opossum,Vishakhapatnam,7/20/2019,Euthanized +24hr,Orphaned - Parent Known Dead,719,2019,2556
Truro Central School,Truro,House Sparrow,Barnstable County,7/23/2019,Died in 24hr,,720,2019,2642
248 Whidah Road,Chatham,Northern Gannet,Barnstable County,7/22/2019,Died +24hr,,721,2019,
Franklin Street,Provincetown,House Sparrow,Barnstable County,7/23/2019,Euthanized +24hr,,722,2019,2667
15 Sherman Road,South Orleans,Northern Cardinal,Barnstable County,7/23/2019,Died +24hr,Collision,723,2019,2662
George Ryder Road  (Chatham Police Station),Chatham,Osprey,Barnstable County,7/23/2019,Euthanized in 24hr,"Fell From Nest,orphan",724,2019,2642
Old Main Street & Route 28,West Dennis,Osprey,Barnstable County,7/23/2019,Released,"Environmental - Storm, Fell from Nest, orphan",725,2019,
Old Main Street & Route 28,West Dennis,Osprey,Barnstable County,7/23/2019,Released,"Environmental - Storm, Fell from Nest, orphan",726,2019,
Monomoy High School,Chatham,Osprey,Barnstable County,7/23/2019,Released,"Orphaned, Fell from Nest",727,2019,
Ireland Way,Eastham,Eastern Cottontail,Barnstable County,7/24/2019,Died in 24hr,,728,2019,2642
7 Old Tote Road,Orleans,Eastern Cottontail,Barnstable County,7/24/2019,Euthanized in 24hr,,729,2019,2653
36 Sherwood Road,Harwich,Mourning Dove,Barnstable County,7/24/2019,Euthanized in 24hr,,730,2019,2645
Nauset Light Beach,Eastham,Common Loon,Barnstable County,7/24/2019,Released,Environmental - Storm,731,2019,2667
Go- Carts,Harwich,Osprey,Barnstable County,7/23/2019,Released,Environmental - Storm,732,2019,
Go-Carts,Harwich,Osprey,Barnstable County,7/23/2019,Released,Environmental - Storm,733,2019,
Karen's Way,Orleans,Eastern Cottontail,Barnstable County,7/24/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",734,2019,
Karen's Way,Orleans,Eastern Cottontail,Barnstable County,7/24/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",735,2019,
Karen's Way,Orleans,Eastern Cottontail,Barnstable County,7/24/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",736,2019,
Behind Lobster Pot Restaurant,Provincetown,Great Black-backed Gull,Barnstable County,7/24/2019,Died +24hr,,737,2019,2651
190 Sparrowhawk Lane,Eastham,Baltimore Oriole,Barnstable County,7/24/2019,Died in 24hr,Entrapment,738,2019,2642
230 Gosnold Street,Hyannis,Eastern Cottontail,Barnstable County,7/24/2019,Euthanized in 24hr,,739,2019,2601
Hoop Hole Road,Mashpee,Blue Jay,Barnstable County,7/24/2019,Died in 24hr,Collision - Vehicle,740,2019,2649
Unknown,Harwich,American Robin,Barnstable County,7/24/2019,Dead on arrival,Environmental,741,2019,
Unknown,Harwich,American Robin,Barnstable County,7/24/2019,Dead on arrival,Environmental - Storm,742,2019,
Unknown,Harwich,American Robin,Barnstable County,7/24/2019,Dead on arrival,Environmental - Storm,743,2019,
204 Marina Drive,Quincy,Eastern Gray Squirrel,Norfolk County,6/7/2019,Died +24hr,Orphaned,744,2019,
204 Marina Drive,Quincy,Eastern Gray Squirrel,Norfolk County,6/5/2019,Released,Orphaned,745,2019,
204 Marina Drive,Quincy,Eastern Gray Squirrel,Norfolk County,6/5/2019,Released,Orphaned,746,2019,
204 Marina Drive,Quincy,Eastern Gray Squirrel,Norfolk County,6/5/2019,Released,Orphaned,747,2019,
204 Marina Drive,Quincy,Eastern Gray Squirrel,Norfolk County,6/5/2019,Released,Orphaned,748,2019,
590 Massasoit Road,Eastham,Eastern Gray Squirrel,Barnstable County,6/25/2019,Died +24hr,Orphaned,749,2019,
590 Massasoit Road,Eastham,Eastern Gray Squirrel,Barnstable County,6/25/2019,Released,Orphaned,750,2019,
Unknown,East Falmouth,Tufted Titmouse,Vishakhapatnam,6/28/2019,Released,"Nest/Habitat Disturbed, Orphaned",751,2019,2536
Unknown,Centerville,White-footed Mouse,Barnstable County,7/4/2019,Released,Orphaned,752,2019,
60 Uncle Barney's Road,West Dennis,Mourning Dove,Barnstable County,7/10/2019,Released,Orphaned,753,2019,
953 Commercial Street,Provincetown,American Robin,Barnstable County,7/12/2019,Released,"Orphaned, Fell from Nest",754,2019,
Unknown,Unknown,American Robin,,7/14/2019,Released,Inappropriate Human Possession,755,2019,
70  Main Street,Wellfleet,Cedar Waxwing,Barnstable County,7/18/2019,Released,Fell from Nest,756,2019,
Mac's Restaurant - Shankpainter Road,Provincetown,American Robin,Barnstable County,7/23/2019,Released,Fell from Nest,757,2019,2666
95 Lt. Island Road,Wellfleet,Cedar Waxwing,Barnstable County,7/23/2019,Released,"Environmental - Storm, orphan",758,2019,
Toms Hill Road,North Truro,Cedar Waxwing,Barnstable County,7/24/2019,Released,Orphaned,759,2019,
96 Gardiner Road,Woods Hole,American Robin,Barnstable County,8/23/2019,Released,"Orphaned, Fell from Nest",760,2019,23103
219 Old Chatham Road,South Dennis,Mourning Dove,Barnstable County,7/24/2019,Died +24hr,"Environmental - Storm, Orphaned, Fell from Nest",761,2019,2660
219 Old Chatham Road,South Dennis,Mourning Dove,Barnstable County,7/24/2019,Released,"Environmental, Orphaned, Fell from Nest",762,2019,2660
"Orleans Road, Nauset Village",Orleans,American Robin,Barnstable County,7/26/2019,Released,Orphaned,763,2019,2631
North Street,Hyannis,Herring Gull,Barnstable County,7/27/2019,Released,orphan,764,2019,2601
32 Tomahawk Trail,Eastham,Mourning Dove,Barnstable County,8/1/2019,Released,Orphan,765,2019,2642
Baker's Pond Road,Orleans,Eastern Cottontail,Barnstable County,8/4/2019,Died +24hr,Collision - Vehicle,766,2019,2653
Cahoon Hollow Beach,Wellfleet,Herring Gull,Barnstable County,8/5/2019,Euthanized +24hr,,767,2019,
150 Hopkins Lane,East Orleans,American Goldfinch,Barnstable County,8/6/2019,Released,"Nest/Habitat Disturbed, orphan",768,2019,2653
150 Hopkins Lane,East Orleans,American Goldfinch,Barnstable County,8/6/2019,Released,"Nest/Habitat Disturbed,orphan",769,2019,2653
150 Hopkins Lane,East Orleans,American Goldfinch,Barnstable County,8/6/2019,Released,"Nest/Habitat Disturbed,orphan",770,2019,2653
150 Hopkins Lane,East Orleans,American Goldfinch,Barnstable County,8/6/2019,Released,"Nest/Habitat Disturbed, orphan",771,2019,2653
150 Hopkins Lane,East Orleans,American Goldfinch,Barnstable County,8/6/2019,Released,"Nest/Habitat Disturbed, orphan",772,2019,2653
51 Peter Blossom Lane,West Barnstable,Gray Catbird,Barnstable County,8/4/2019,Euthanized +24hr,,773,2019,
Kensington Drive,Sandwich,Gray Catbird,Barnstable County,8/6/2019,Died in 24hr,,774,2019,
493 Commercial Street,Provincetown,Common Eider,Barnstable County,8/11/2019,Died +24hr,Disease,775,2019,5143
75 Pine Woods Road,Eastham,American Robin,Barnstable County,8/12/2019,Died +24hr,"Animal Interaction - Cat, orphan",776,2019,2642
Forest Beach Road,Chatham,Eastern Box Turtle,Barnstable County,8/12/2019,Euthanized +24hr,Collision - Vehicle,777,2019,2633
291 River Road - Jenkins Bog,Marstons Mills,Common Snapping Turtle,Barnstable County,8/12/2019,Died +24hr,,778,2019,2648
74 Long Pond Drive,Harwich,House Finch,Barnstable County,8/13/2019,Died in 24hr,Entrapment,779,2019,2645
26B Fred Bell Way,Wellfleet,Eastern Cottontail,Barnstable County,8/12/2019,Died +24hr,,780,2019,2667
15 Emerson Road,Eastham,Eastern Box Turtle,Barnstable County,8/13/2019,Released,,781,2019,2642
70 Pilgrims Way,Brewster,Eastern Box Turtle,Barnstable County,8/13/2019,Released,,782,2019,
Newcomb Hollow,Wellfleet,Laughing Gull,Barnstable County,8/13/2019,Euthanized in 24hr,,783,2019,2667
76R Bayberry Avenue - Coastal Acres Campground,Provincetown,Mourning Dove,Barnstable County,8/14/2019,Euthanized +24hr,,784,2019,12106
364 Pleasant Bay Road,Harwich,Eastern Cottontail,Barnstable County,8/14/2019,Euthanized in 24hr,Animal Interaction - Rat,785,2019,2645
4 Wood Duck Lane,Eastham,Eastern Cottontail,Barnstable County,8/14/2019,Died in 24hr,,786,2019,2642
Swan Pond Village,South Yarmouth,European Starling,Barnstable County,8/14/2019,Euthanized in 24hr,orphan,787,2019,2664
1 Commercial Street,Provincetown,Northern Gannet,Barnstable County,8/14/2019,Died +24hr,Foreign Objects - Fishing Gear,788,2019,
50 Cross Street,Chatham,Eastern Cottontail,Barnstable County,8/15/2019,Euthanized in 24hr,Animal Interaction - Dog,789,2019,2864
Unknown,Eastham,Eastern Cottontail,Barnstable County,8/15/2019,Euthanized in 24hr,Animal Interaction - Cat,790,2019,2651
Crosby Landing,Brewster,Least Tern,Barnstable County,8/15/2019,Died in 24hr,orphan,791,2019,7421
Cold Storage Beach,Dennis,Common Loon,,8/15/2019,Euthanized in 24hr,,792,2019,
42 Pine Lane,Harwich,Common Tern,Barnstable County,8/15/2019,Died in 24hr,orphan,793,2019,
Marconi Beach,Wellfleet,Double-crested Cormorant,Barnstable County,8/16/2019,Transferred,,794,2019,2651
Ellis Landing / Smith Road,Brewster,Great Black-backed Gull,Barnstable County,8/16/2019,Euthanized in 24hr,,795,2019,
Library in Orleans,Orleans,Song Sparrow,Barnstable County,8/17/2019,Released,Orphaned,796,2019,7853
144 Sisson Road,Harwich,Chimney Swift,Barnstable County,8/17/2019,Euthanized in 24hr,,797,2019,2645
Salt Pond,Eastham,Common Tern,Barnstable County,8/17/2019,Died in 24hr,,798,2019,2642
Outer Beach,Orleans,Ruddy Turnstone,Barnstable County,8/17/2019,Died in 24hr,,799,2019,
14 N. Westgate Road,Harwich,Eastern Cottontail,Barnstable County,8/19/2019,Died in 24hr,"Animal Interaction, Collision",800,2019,2645
Route 6,Provincetown,Double-crested Cormorant,Barnstable County,8/19/2019,Dead on arrival,,801,2019,
46 Meghan Drive,Marshfield,American Robin,,8/16/2019,Euthanized +24hr,,802,2019,
Ocean Edge Golf Course,Brewster,Eastern Gray Squirrel,Barnstable County,8/16/2019,Euthanized in 24hr,Orphaned,803,2019,2631
136 Shore Road,North Truro,Rock Pigeon,Barnstable County,8/17/2019,Euthanized in 24hr,,804,2019,10034
Christmas Tree Shop,Orleans,House Sparrow,Barnstable County,8/17/2019,Died in 24hr,"Collision - Vehicle,orphan",805,2019,02651-1802
9 Soper Street,Provincetown,Mourning Dove,Barnstable County,8/17/2019,Died in 24hr,,806,2019,
Freeman Street,Harwich Port,Eastern Cottontail,Barnstable County,8/17/2019,Dead on arrival,Animal Interaction - Coyote,807,2019,2646
Unknown,Mashpee,Eastern Cottontail,Barnstable County,8/18/2019,Euthanized in 24hr,Orphaned,808,2019,
Unknown,Mashpee,Eastern Cottontail,Barnstable County,8/18/2019,Euthanized in 24hr,Orphaned,809,2019,
3451 Main Street,Brewster,Ruby-throated Hummingbird,Barnstable County,8/18/2019,Dead on arrival,Entrapment - Spider Webs,810,2019,2631
113 Woodview Drive,Brewster,Blue Jay,Barnstable County,8/18/2019,Dead on arrival,,811,2019,2631
Hardings Beach,Chatham,Osprey,Barnstable County,7/24/2019,Released,"Environmental - Storm, Orphaned",812,2019,
Hardings Beach,Chatham,Osprey,Barnstable County,7/24/2019,Released,"Environmental - Storm, Orphaned",813,2019,
Hardings Beach,Chatham,Osprey,Barnstable County,7/24/2019,Released,"Environmental - Storm, Orphaned",814,2019,
35 Captain Linnell Road,Orleans,Wild Turkey,Barnstable County,7/25/2019,Euthanized in 24hr,"Entrapment, orphan",815,2019,2653
56 Cypress Road,South Dennis,American Robin,Barnstable County,7/25/2019,Died in 24hr,"Nest/habitat Disturbed, Orphan",816,2019,
Cove Motel,Orleans,Eastern Cottontail,Barnstable County,7/25/2019,Euthanized in 24hr,,817,2019,
95 Gages Way,South Dennis,Brown-headed Cowbird,Barnstable County,7/26/2019,Euthanized +24hr,Collision - Window,818,2019,2660
970 Govenor Prence Road,Eastham,Virginia Opossum,Barnstable County,7/26/2019,Released,Entrapment,819,2019,2642
Cahoon Hollow Beach,Wellfleet,Herring Gull,Barnstable County,7/26/2019,Euthanized in 24hr,,820,2019,
Sesuit Harbor,Dennis,Osprey,Barnstable County,6/29/2019,Released,Nest/Habitat Disturbed,821,2019,
Sesuit Harbor,Dennis,Osprey,Barnstable County,6/29/2019,Released,Nest/Habitat Disturbed,822,2019,
25 Dennis Lane,Harwich,Baltimore Oriole,Barnstable County,7/3/2019,Released,"Animal Interaction - Cat,orphan",823,2019,33647
Head of the Meadow Beach,Truro,Northern Gannet,Barnstable County,7/3/2019,Died +24hr,Foreign Objects,824,2019,
27 Blue Rock Road,South Yarmouth,Northern Flicker,Barnstable County,7/4/2019,Euthanized +24hr,Collision - Window,825,2019,2664
Doane Road,Eastham,Eastern Cottontail,Barnstable County,7/6/2019,Died +24hr,Animal Interaction - Cat,826,2019,
1 Wisdom Way,Harwich,Eastern Chipmunk,Barnstable County,7/6/2019,Euthanized +24hr,Animal Interaction - Cat,827,2019,2645
"North Beach Island, South End",Chatham,Northern Gannet,Barnstable County,7/7/2019,Euthanized +24hr,"Behavioral Stranding, Disease",828,2019,2633
1380 Massosiat Road,Eastham,Eastern Cottontail,Barnstable County,7/8/2019,Transferred,Animal Interaction - Dog,829,2019,2642
204 Luna Farm Way,Brewster,Eastern Cottontail,Barnstable County,7/8/2019,Euthanized in 24hr,Animal Interaction - Dog,830,2019,2631
204 Luna Farm Way,Brewster,Eastern Cottontail,Barnstable County,7/8/2019,Transferred,Animal Interaction - Dog,831,2019,2631
204 Luna Farm Way,Brewster,Eastern Cottontail,Barnstable County,7/8/2019,Transferred,Animal Interaction - Dog,832,2019,2631
6 Morgan's Way,Brewster,Eastern Cottontail,Barnstable County,7/8/2019,Died in 24hr,,833,2019,2653
5 Eastwind Drive,Eastham,Blue Jay,Barnstable County,7/9/2019,Died in 24hr,"Animal Interaction - Dog, orphan",834,2019,2642
11 Lakeside Terrace,Harwich,Common Snapping Turtle,,7/9/2019,Transferred,,835,2019,
57 Locust Road,Orleans,Northern Flicker,Barnstable County,7/9/2019,Euthanized +24hr,Collision - Vehicle,836,2019,2653
Daily Terrace,Orleans,Eastern Painted Turtle,Barnstable County,7/10/2019,Euthanized in 24hr,Collision - Vehicle,837,2019,2653
49 Duck Marsh Lane,Chatham,Eastern Cottontail,Barnstable County,7/10/2019,Died in 24hr,Animal Interaction - Cat,838,2019,2633
Lower County Road,Harwich,Eastern Cottontail,Barnstable County,7/10/2019,Euthanized in 24hr,,839,2019,85253
Wequassett Inn  Route 28,Harwich,Common Grackle,Barnstable County,7/10/2019,Died +24hr,Orphaned,840,2019,
24 Six Penny Lane,Harwich Port,Brown-headed Cowbird,Barnstable County,7/10/2019,Euthanized +24hr,,841,2019,
Main Street,Hyannis,European Starling,Barnstable County,7/13/2019,Died +24hr,,842,2019,2633
140 Donahue Road,Brewster,Eastern Cottontail,Barnstable County,7/20/2019,Transferred,Orphaned,843,2019,2631
140 Donahue Road,Brewster,Eastern Cottontail,Barnstable County,7/20/2019,Transferred,Orphaned,844,2019,2631
121 Harding Road,Chatham,Common Loon,Barnstable County,7/20/2019,Dead on arrival,Behavioral Stranding,845,2019,
103 Glouster  Ocean Edge Resort,Brewster,Eastern Cottontail,Barnstable County,7/21/2019,Died in 24hr,,846,2019,27607
Route 137,Chatham,Eastern Box Turtle,Barnstable County,7/21/2019,Euthanized in 24hr,Collision - Vehicle,847,2019,2645
30 Seabeach Road,Chatham,Common Loon,Barnstable County,7/22/2019,Died in 24hr,Behavioral Stranding,848,2019,5091
Coast Guard Beach,Eastham,Northern Gannet,Barnstable County,7/22/2019,Died in 24hr,,849,2019,
18 Randolph Lane,Harwich,Common Grackle,Barnstable County,7/22/2019,Euthanized in 24hr,,850,2019,2645
27 Horizon Circle,Chatham,Eastern Cottontail,Barnstable County,7/27/2019,Euthanized in 24hr,,851,2019,2633
Depot Road,Truro,Canada Goose,Barnstable County,7/27/2019,Died in 24hr,Collision - Vehicle,852,2019,
Vicksburg,Harwich,Ruby-throated Hummingbird,Barnstable County,7/27/2019,Dead on arrival,,853,2019,2645
Harding's Beach,Chatham,Common Loon,Barnstable County,7/27/2019,Euthanized in 24hr,,854,2019,
Noons Landing Beach  Route 6A,North Truro,Common Loon,Barnstable County,7/27/2019,Died in 24hr,Behavioral Stranding,855,2019,
CVS,Dennis,Eastern Cottontail,Barnstable County,7/28/2019,Died in 24hr,Orphaned,856,2019,
125 Seaward Way,North Eastham,Eastern Cottontail,Barnstable County,7/28/2019,Died in 24hr,Animal Interaction - Cat,857,2019,2651
Unknown,Unknown,American Crow,,9/18/2019,Dead on arrival,,858,2019,
Nauset Beach,Orleans,Black Scoter,Barnstable County,7/28/2019,Died in 24hr,,859,2019,
Unknown,Yarmouthport,Herring Gull,Vishakhapatnam,7/29/2019,Died in 24hr,Collision,860,2019,
Bass River,South Yarmouth,Barn Swallow,Barnstable County,7/15/2019,Released,,861,2019,2664
230 Pinewood Circle,Wellfleet,House Sparrow,Barnstable County,6/28/2019,Released,Orphaned,862,2019,2667
1505 Bridge Road,Eastham,White-footed Mouse,Barnstable County,6/30/2019,Released,Nest/Habitat Disturbed,863,2019,2642
1505 Bridge Road,Eastham,White-footed Mouse,Barnstable County,6/30/2019,Released,Nest/Habitat Disturbed,864,2019,2642
1505 Bridge Road,Eastham,White-footed Mouse,Barnstable County,6/30/2019,Released,Nest/Habitat Disturbed,865,2019,2642
